FR_AIDE
FR_ALCOOL
FR_AMI
FR_AMOUR
FR_ANIMAL
FR_APPARENCE
FR_AU_REVOIR
FR_BLAGUE
FR_CAPITALISME
FR_CHINE
FR_CHRISTIANISME
FR_CITATION
FR_COLERE
FR_COMMUNISME
FR_CONFIANCE-EN-SOI
FR_CULTURE
FR_DEGOUT
FR_DEPRESSION
FR_DIEU
FR_DROGUE
FR_ECOLOGIE
FR_ECONOMIE
FR_ELO
FR_EUROPE
FR_FAMILLE
FR_FEMME
FR_FINE
FR_FOOTBALL
FR_FRANCE
FR_GOOGLE
FR_GREET
FR_HARCELEMENT
FR_HESITE
FR_HUMANITE
FR_HUMOUR
FR_INTERNET
FR_ISLAM
FR_JE-PEUX
FR_JE-SUIS
FR_JE-VEUX
FR_JEUNESSE
FR_JOIE
FR_LECTURE
FR_M-EXCUSE
FR_MAL
FR_MALADIE
FR_MERCI
FR_MERE
FR_METEO
FR_MONDE
FR_MUSIQUE
FR_NOM
FR_NON
FR_NOURRITURE
FR_ORDINATEURS
FR_OUI
FR_PARCE-QUE
FR_PENSE
FR_PERE
FR_PEUR
FR_PEUT-ETRE
FR_PEUX-TU
FR_POLITESSE
FR_POLITIQUE
FR_POURQUOI-JE-NE-PEUX-PAS
FR_POURQUOI-NE-FAIS-TU-PAS
FR_PSYCHANALYSE
FR_QUOI
FR_REPEAT
FR_REPEAT_INPUT
FR_REPONSE
FR_REVE
FR_SEXE
FR_SOCIALISME
FR_SOUFFRANCE
FR_SPORT
FR_SURPRISE
FR_TERRORISME
FR_TOI
FR_TOUJOURS
FR_TRAVAIL
FR_TRISTESSE
FR_TU-ES
FR_UNDERSTAND
FR_USA
FR_VACANCES
FR_VIRUS
FR_VRAIMENT
FR_XENOPHOBIE
